Compiling 1 file (.ex)
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
erlang:garbage_collect/0                                         11          3      0.27  [ 0.00]
erlang:module_loaded/1                                           10          3      0.30  [ 0.00]
erlang:prepare_loading/2                                         10          3      0.30  [ 0.00]
'Elixir.Beamicom.NES.PPU':new/2                                   1          3      3.00  [ 0.00]
'Elixir.Beamicom.NES.Bus':new/2                                   1          3      3.00  [ 0.00]
crypto:hash_final_nif/1                                           3          3      1.00  [ 0.00]
erlang:function_exported/3                                       10          2      0.20  [ 0.00]
erlang:prepare_loading_1/2                                       10          2      0.20  [ 0.00]
'Elixir.Base':encode16lower/2                                    15          2      0.13  [ 0.00]
'Elixir.System':monotonic_time/1                                  2          2      1.00  [ 0.00]
'Elixir.Beamicom.NES.Console':load_binary/1                       1          2      2.00  [ 0.00]
'Elixir.Beamicom.NES.Cart':parse/1                                2          2      1.00  [ 0.00]
code:ensure_prepare_loading/3                                    10          2      0.20  [ 0.00]
code:get_mode/0                                                  10          2      0.20  [ 0.00]
code:call/1                                                      20          2      0.10  [ 0.00]
'Elixir.Beamicom.NES.APU':status_write/2                          5          2      0.40  [ 0.00]
persistent_term:get/1                                            11          2      0.18  [ 0.00]
code_server:get_mode/0                                           10          2      0.20  [ 0.00]
'Elixir.Enum':slice_forward/4                                     3          1      0.33  [ 0.00]
'Elixir.Enum':slice_list/4                                        3          1      0.33  [ 0.00]
'Elixir.Base':encode16/2                                          3          1      0.33  [ 0.00]
'Elixir.Mix.Tasks.Nes.Bench':'-profile/2-fun-0-'/2                1          1      1.00  [ 0.00]
'Elixir.Beamicom.NES.APU':enable/2                               20          1      0.05  [ 0.00]
'Elixir.Beamicom.NES.APU':frame_write/2                           1          1      1.00  [ 0.00]
'Elixir.Keyword':get/3                                            3          1      0.33  [ 0.00]
crypto:hash_init/1                                                3          1      0.33  [ 0.00]
erl_prim_loader:check_file_result/3                               1          1      1.00  [ 0.00]
erl_prim_loader:is_prefix/2                                      13          1      0.08  [ 0.00]
erlang:monotonic_time/1                                           2          0      0.00  [ 0.00]
'Elixir.Enum':amount_with_step/2                                  3          0      0.00  [ 0.00]
'Elixir.Enum':at/2                                                3          0      0.00  [ 0.00]
'Elixir.Enum':at/3                                                3          0      0.00  [ 0.00]
'Elixir.Enum':count/2                                             1          0      0.00  [ 0.00]
'Elixir.Enum':sum/1                                               1          0      0.00  [ 0.00]
'Elixir.Enum':take_list/2                                         6          0      0.00  [ 0.00]
'Elixir.System':normalize_time_unit/1                             2          0      0.00  [ 0.00]
'Elixir.Mix.Tasks.Nes.Bench':hash/1                               1          0      0.00  [ 0.00]
